,Unnamed: 0,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,_merge
0,0,2023-09-25,2563.0,2635.0,2554.0,2620.0,61100.0,2620.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2563.0,2635.0,2554.0,2620.0,61100.0,2620.0,0.0,0.0,0.0,0,0,0.0,0.0,both
1,1,2023-09-22,2534.0,2579.0,2515.0,2561.0,72200.0,2561.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2534.0,2579.0,2515.0,2561.0,72200.0,2561.0,0.0,0.0,0.0,0,0,7500.0,8100.0,both
2,2,2023-09-21,2626.0,2626.0,2544.0,2551.0,80700.0,2551.0,0.0,0.0,0.0,0.0,0,8500.0,7600.0,2626.0,2626.0,2544.0,2551.0,80700.0,2551.0,0.0,0.0,0.0,0,0,8500.0,7600.0,both
3,3,2023-09-20,2600.0,2644.0,2587.0,2625.0,111700.0,2625.0,0.0,0.0,0.0,0.0,0,9700.0,7100.0,2600.0,2644.0,2587.0,2625.0,111700.0,2625.0,0.0,0.0,0.0,0,0,9700.0,7100.0,both
4,4,2023-09-19,2584.0,2596.0,2547.0,2596.0,51100.0,2596.0,0.0,0.0,0.0,0.0,0,9600.0,7100.0,2584.0,2596.0,2547.0,2596.0,51100.0,2596.0,0.0,0.0,0.0,0,0,9600.0,7100.0,both
5,5,2023-09-15,2610.0,2627.0,2569.0,2599.0,91200.0,2599.0,26200.0,131600.0,5.02,0.0,0,9800.0,7100.0,2610.0,2627.0,2569.0,2599.0,91200.0,2599.0,26200.0,131600.0,5.02,0,0,9800.0,7100.0,both
6,6,2023-09-14,2594.0,2614.0,2573.0,2609.0,52600.0,2609.0,0.0,0.0,0.0,0.0,0,9400.0,7100.0,2594.0,2614.0,2573.0,2609.0,52600.0,2609.0,0.0,0.0,0.0,0,0,9400.0,7100.0,both
7,7,2023-09-13,2630.0,2630.0,2550.0,2577.0,111300.0,2577.0,0.0,0.0,0.0,0.0,0,9800.0,7200.0,2630.0,2630.0,2550.0,2577.0,111300.0,2577.0,0.0,0.0,0.0,0,0,9800.0,7200.0,both
8,8,2023-09-12,2660.0,2671.0,2619.0,2639.0,54700.0,2639.0,0.0,0.0,0.0,0.0,0,12600.0,8300.0,2660.0,2671.0,2619.0,2639.0,54700.0,2639.0,0.0,0.0,0.0,0.00,0,12600.0,8300.0,both
9,9,2023-09-11,2645.0,2677.0,2626.0,2644.0,80900.0,2644.0,0.0,0.0,0.0,0.0,0,11500.0,7200.0,2645.0,2677.0,2626.0,2644.0,80900.0,2644.0,0.0,0.0,0.0,0.00,0,11500.0,7200.0,both
