,日付,信用売残,信用買残,信用倍率
0,2023-10-27,206,503,2.44
1,2023-10-20,383,520,1.36
2,2023-10-13,1025,456,0.44
3,2023-10-06,1341,532,0.4
4,2023-09-29,2184,507,0.23
5,2023-09-22,7530,1843,0.24
6,2023-09-15,1845,1145,0.62
7,2023-09-08,60,400,6.67
8,2023-09-01,100,359,3.59
9,2023-08-25,123,228,1.85
10,2023-08-18,69,253,3.67
11,2023-08-10,60,250,4.17
12,2023-08-04,32,247,7.72
13,2023-07-28,136,278,2.04
14,2023-07-21,124,300,2.42
15,2023-07-14,120,367,3.06
16,2023-07-07,185,567,3.06
17,2023-06-30,199,344,1.73
18,2023-06-23,340,310,0.91
19,2023-06-16,572,227,0.4
20,2023-06-09,545,217,0.4
21,2023-06-02,503,225,0.45
22,2023-05-26,449,230,0.51
23,2023-05-19,863,245,0.28
24,2023-05-12,782,242,0.31
