,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,_merge
0,2023-10-16,2650.0,2665.0,2630.5,2660.0,19258100.0,2660.0,0.0,0.0,0.0,0.0,0.0,482000.0,487800.0,2650.0,2665.0,2630.5,2660.0,19258100.0,2660.0,0.0,0.0,0.0,0,0.0,482000.0,487800.0,both
1,2023-10-13,2708.0,2726.0,2677.0,2687.5,24757200.0,2687.5,2347300.0,13580700.0,5.79,0.0,0.0,482000.0,626500.0,2708.0,2726.0,2677.0,2687.5,24757200.0,2687.5,2347300.0,13580700.0,5.79,0,0.0,482000.0,626500.0,both
2,2023-10-12,2678.0,2740.0,2673.0,2740.0,32321600.0,2740.0,0.0,0.0,0.0,0.0,0.0,562300.0,418400.0,2678.0,2740.0,2673.0,2740.0,32321600.0,2740.0,0.0,0.0,0.0,0,0.0,562300.0,418400.0,both
3,2023-10-11,2650.0,2681.0,2640.0,2651.0,23177900.0,2651.0,0.0,0.0,0.0,0.0,0.0,574100.0,509900.0,2650.0,2681.0,2640.0,2651.0,23177900.0,2651.0,0.0,0.0,0.0,0,0.0,574100.0,509900.0,both
4,2023-10-10,2600.0,2640.5,2595.0,2624.5,27455800.0,2624.5,0.0,0.0,0.0,0.0,0.0,556900.0,469900.0,2600.0,2640.5,2595.0,2624.5,27455800.0,2624.5,0.0,0.0,0.0,0,0.0,556900.0,469900.0,both
5,2023-10-06,2564.5,2604.0,2536.0,2572.0,28521800.0,2572.0,2383500.0,13628900.0,5.72,0.0,0.0,521200.0,486200.0,2564.5,2604.0,2536.0,2572.0,28521800.0,2572.0,2383500.0,13628900.0,5.72,0,0.0,521200.0,486200.0,both
6,2023-10-05,2528.0,2590.0,2505.5,2590.0,41463500.0,2590.0,0.0,0.0,0.0,0.0,0.0,577300.0,630000.0,2528.0,2590.0,2505.5,2590.0,41463500.0,2590.0,0.0,0.0,0.0,0,0.0,577300.0,630000.0,both
7,2023-10-04,2555.0,2563.0,2471.0,2477.5,46063800.0,2477.5,0.0,0.0,0.0,0.0,0.0,602000.0,473400.0,2555.0,2563.0,2471.0,2477.5,46063800.0,2477.5,0.0,0.0,0.0,0,0.0,602000.0,473400.0,both
8,2023-10-03,2680.0,2687.0,2593.0,2605.0,31775900.0,2605.0,0.0,0.0,0.0,0.0,0.0,505700.0,466200.0,2680.0,2687.0,2593.0,2605.0,31775900.0,2605.0,0.0,0.0,0.0,0,0.0,505700.0,466200.0,both
9,2023-10-02,2700.5,2746.5,2683.5,2687.0,28738800.0,2687.0,0.0,0.0,0.0,0.0,0.0,489100.0,435100.0,2700.5,2746.5,2683.5,2687.0,28738800.0,2687.0,0.0,0.0,0.0,0,0.0,489100.0,435100.0,both
10,2023-09-29,2718.0,2727.5,2675.5,2677.5,33276200.0,2677.5,2667500.0,12523500.0,4.69,0.0,0.0,495800.0,489900.0,2718.0,2727.5,2675.5,2677.5,33276200.0,2677.5,2667500.0,12523500.0,4.69,0,0.0,495800.0,489900.0,both
11,2023-09-28,2720.0,2746.5,2678.0,2706.0,32137100.0,2706.0,0.0,0.0,0.0,0.0,0.0,562900.0,605000.0,2720.0,2746.5,2678.0,2706.0,32137100.0,2706.0,0.0,0.0,0.0,0,0.0,562900.0,605000.0,both
12,2023-09-27,2700.0,2751.5,2677.0,2748.0,31403100.0,2748.0,0.0,0.0,0.0,0.0,0.0,612000.0,444800.0,2700.0,2751.5,2677.0,2748.0,31403100.0,2748.0,0.0,0.0,0.0,0,0.0,612000.0,444800.0,both
13,2023-09-26,2765.0,2766.5,2707.5,2716.5,26603400.0,2716.5,0.0,0.0,0.0,0.0,0.0,497300.0,515100.0,2765.0,2766.5,2707.5,2716.5,26603400.0,2716.5,0.0,0.0,0.0,0,0.0,497300.0,515100.0,both
