,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,0.00,1,6000,4800
1,2023-08-08,日証金,0.00,-,2800,4600
2,2023-08-07,日証金,-,-,1800,2700
3,2023-08-04,日証金,-,-,1600,2700
4,2023-08-03,日証金,-,-,1700,2800
5,2023-08-02,日証金,-,-,1700,2800
6,2023-08-01,日証金,-,-,2000,3300
7,2023-07-31,日証金,0.00,-,5600,4900
8,2023-07-28,日証金,0.00,-,5700,5000
9,2023-07-27,日証金,-,-,1800,2800
10,2023-07-26,日証金,-,-,2200,2800
11,2023-07-25,日証金,-,-,2000,2800
12,2023-07-24,日証金,-,-,2300,2800
13,2023-07-21,日証金,-,-,2100,2800
14,2023-07-20,日証金,-,-,2100,2800
15,2023-07-19,日証金,-,-,1000,2800
16,2023-07-18,日証金,-,-,1700,2800
17,2023-07-14,日証金,-,-,1300,2800
18,2023-07-13,日証金,-,-,1000,2800
19,2023-07-12,日証金,-,-,1000,6700
20,2023-07-11,日証金,-,-,2400,2800
