,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,600,49400
1,2023-08-08,日証金,-,-,100,50600
2,2023-08-07,日証金,-,-,100,51200
3,2023-08-04,日証金,-,-,11800,55300
4,2023-08-03,日証金,-,-,100,55500
5,2023-08-02,日証金,-,-,5000,52100
6,2023-08-01,日証金,-,-,0,53200
7,2023-07-31,日証金,-,-,0,54500
8,2023-07-28,日証金,-,-,100,55800
9,2023-07-27,日証金,-,-,0,50800
10,2023-07-26,日証金,-,-,0,56000
11,2023-07-25,日証金,-,-,0,59600
12,2023-07-24,日証金,-,-,0,62400
13,2023-07-21,日証金,-,-,3600,62000
14,2023-07-20,日証金,-,-,3900,48700
15,2023-07-19,日証金,-,-,1000,55900
16,2023-07-18,日証金,-,-,200,53700
17,2023-07-14,日証金,-,-,0,52000
18,2023-07-13,日証金,-,-,0,40400
19,2023-07-12,日証金,-,-,2500,39400
20,2023-07-11,日証金,-,-,0,39100
