,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,0.00,1,42700,22300
1,2023-08-08,日証金,0.00,4,65300,22700
2,2023-08-07,日証金,0.00,1,58800,29400
3,2023-08-04,日証金,0.05,1,42500,20000
4,2023-08-03,日証金,0.00,1,37700,16900
5,2023-08-02,日証金,-,-,47200,102000
6,2023-08-01,日証金,0.00,1,92000,34700
7,2023-07-31,日証金,0.00,1,90500,38300
8,2023-07-28,日証金,-,-,21800,36500
9,2023-07-27,日証金,-,-,21400,31900
10,2023-07-26,日証金,-,-,21800,32200
11,2023-07-25,日証金,-,-,22300,30500
12,2023-07-24,日証金,-,-,13200,27900
13,2023-07-21,日証金,-,-,13200,24400
14,2023-07-20,日証金,0.00,1,25000,21100
15,2023-07-19,日証金,0.00,-,23600,23000
16,2023-07-18,日証金,0.00,-,22600,21800
17,2023-07-14,日証金,-,-,22700,21900
18,2023-07-13,日証金,0.00,1,30800,27300
19,2023-07-12,日証金,-,-,20500,25200
20,2023-07-11,日証金,0.00,-,21000,20300
