,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,1300,400
1,2023-08-08,日証金,-,-,1300,4400
2,2023-08-07,日証金,-,-,4500,6800
3,2023-08-04,日証金,-,-,4300,5500
4,2023-08-03,日証金,-,-,4000,6800
5,2023-08-02,日証金,-,-,4600,5900
6,2023-08-01,日証金,-,-,4900,4600
7,2023-07-31,日証金,-,-,6900,4400
8,2023-07-28,日証金,-,-,6800,2400
9,2023-07-27,日証金,-,-,5700,2700
10,2023-07-26,日証金,-,-,5200,3400
11,2023-07-25,日証金,-,-,5100,1600
12,2023-07-24,日証金,-,-,4800,1500
13,2023-07-21,日証金,-,-,4000,1300
14,2023-07-20,日証金,-,-,6600,1300
15,2023-07-19,日証金,-,-,6300,1400
16,2023-07-18,日証金,-,-,2900,500
17,2023-07-14,日証金,-,-,2900,500
18,2023-07-13,日証金,-,-,3200,600
19,2023-07-12,日証金,-,-,3300,2800
20,2023-07-11,日証金,-,-,4500,500
