,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,0.00,1,9300,8100
1,2023-08-08,日証金,0.00,4,8100,6800
2,2023-08-07,日証金,-,-,4700,5000
3,2023-08-04,日証金,0.00,-,5700,5700
4,2023-08-03,日証金,0.00,-,6200,6200
5,2023-08-02,日証金,-,-,3800,4300
6,2023-08-01,日証金,-,-,3200,4100
7,2023-07-31,日証金,-,-,2600,4200
8,2023-07-28,日証金,-,-,2400,3500
9,2023-07-27,日証金,-,-,2400,3400
10,2023-07-26,日証金,-,-,2400,3400
11,2023-07-25,日証金,-,-,2300,3400
12,2023-07-24,日証金,-,-,1600,2800
13,2023-07-21,日証金,0.00,-,2600,2600
14,2023-07-20,日証金,0.00,1,3400,2200
15,2023-07-19,日証金,0.00,3,3400,2200
16,2023-07-18,日証金,-,-,3800,5100
17,2023-07-14,日証金,0.00,-,4000,4000
18,2023-07-13,日証金,0.00,1,5200,4400
19,2023-07-12,日証金,0.00,4,5400,5100
20,2023-07-11,日証金,0.05,1,5700,5000
