,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,0,15600
1,2023-08-08,日証金,-,-,0,15600
2,2023-08-07,日証金,-,-,0,17000
3,2023-08-04,日証金,-,-,0,14100
4,2023-08-03,日証金,-,-,0,18100
5,2023-08-02,日証金,-,-,0,10200
6,2023-08-01,日証金,-,-,0,9600
7,2023-07-31,日証金,-,-,0,14700
8,2023-07-28,日証金,-,-,0,15800
9,2023-07-27,日証金,-,-,6800,15000
10,2023-07-26,日証金,-,-,7000,14800
11,2023-07-25,日証金,-,-,7000,14200
12,2023-07-24,日証金,-,-,7000,30100
13,2023-07-21,日証金,-,-,7000,30200
14,2023-07-20,日証金,-,-,7000,30200
15,2023-07-19,日証金,-,-,7000,15900
16,2023-07-18,日証金,-,-,7000,16300
17,2023-07-14,日証金,-,-,7000,14400
18,2023-07-13,日証金,-,-,8500,13900
19,2023-07-12,日証金,-,-,8500,13500
20,2023-07-11,日証金,-,-,8400,13200
