,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,28100,125800
1,2023-08-08,日証金,-,-,25800,122400
2,2023-08-07,日証金,-,-,11900,83500
3,2023-08-04,日証金,-,-,34500,115900
4,2023-08-03,日証金,-,-,11800,109600
5,2023-08-02,日証金,-,-,30200,121900
6,2023-08-01,日証金,-,-,21100,123300
7,2023-07-31,日証金,-,-,72400,131300
8,2023-07-28,日証金,-,-,38200,147800
9,2023-07-27,日証金,-,-,5900,150400
10,2023-07-26,日証金,-,-,7700,132300
11,2023-07-25,日証金,-,-,20900,140900
12,2023-07-24,日証金,-,-,6000,119500
13,2023-07-21,日証金,-,-,6800,125900
14,2023-07-20,日証金,-,-,7900,101800
15,2023-07-19,日証金,-,-,6800,101300
16,2023-07-18,日証金,-,-,8300,103500
17,2023-07-14,日証金,-,-,17500,123700
18,2023-07-13,日証金,-,-,14600,101300
19,2023-07-12,日証金,-,-,20400,114900
20,2023-07-11,日証金,-,-,17300,108800
