,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,7400,228300
1,2023-08-08,日証金,-,-,12100,222100
2,2023-08-07,日証金,-,-,6900,222700
3,2023-08-04,日証金,-,-,5700,188100
4,2023-08-03,日証金,-,-,10000,248500
5,2023-08-02,日証金,-,-,26900,283400
6,2023-08-01,日証金,-,-,31700,234600
7,2023-07-31,日証金,-,-,37700,172300
8,2023-07-28,日証金,-,-,29300,132300
9,2023-07-27,日証金,-,-,23100,127100
10,2023-07-26,日証金,-,-,5700,134900
11,2023-07-25,日証金,-,-,22300,130700
12,2023-07-24,日証金,-,-,5300,166900
13,2023-07-21,日証金,-,-,7300,153100
14,2023-07-20,日証金,-,-,6000,152800
15,2023-07-19,日証金,-,-,5800,226200
16,2023-07-18,日証金,-,-,24800,170000
17,2023-07-14,日証金,-,-,1700,151000
18,2023-07-13,日証金,-,-,1300,116400
19,2023-07-12,日証金,-,-,14800,136100
20,2023-07-11,日証金,-,-,2200,156900
