,日付,信用売残,信用買残,信用倍率
0,2023-08-04,66700,2277400,34.14
1,2023-07-28,53000,2388100,45.06
2,2023-07-21,64500,2378400,36.87
3,2023-07-14,67400,2307100,34.23
4,2023-07-07,77700,2114800,27.22
5,2023-06-30,68700,1895600,27.59
6,2023-06-23,82700,1840400,22.25
7,2023-06-16,68600,1957500,28.53
8,2023-06-09,77300,1892200,24.48
9,2023-06-02,72500,1979700,27.31
10,2023-05-26,115800,1822100,15.73
11,2023-05-19,128700,1789400,13.9
12,2023-05-12,164500,1662500,10.11
13,2023-04-28,122700,1967700,16.04
14,2023-04-21,162300,1967400,12.12
15,2023-04-14,127400,2122600,16.66
16,2023-04-07,112400,2309900,20.55
17,2023-03-31,109500,2412500,22.03
18,2023-03-24,1503600,2717700,1.81
19,2023-03-17,906000,2632900,2.91
20,2023-03-10,567600,2682300,4.73
21,2023-03-03,199200,3038800,15.26
22,2023-02-24,98800,3143100,31.81
23,2023-02-17,71000,3090100,43.52
