,日付,信用売残,信用買残,信用倍率
0,2023-08-04,846400,3599900,4.25
1,2023-07-28,870400,3521600,4.05
2,2023-07-21,892700,3263200,3.66
3,2023-07-14,763000,3595600,4.71
4,2023-07-07,1033500,3509700,3.4
5,2023-06-30,1148100,3040800,2.65
6,2023-06-23,1093400,2660500,2.43
7,2023-06-16,1134900,2778600,2.45
8,2023-06-09,1022500,3113500,3.04
9,2023-06-02,635400,3644100,5.74
10,2023-05-26,762200,3538600,4.64
11,2023-05-19,670600,4217700,6.29
12,2023-05-12,764900,4292500,5.61
13,2023-04-28,787800,4591500,5.83
14,2023-04-21,766400,4722500,6.16
15,2023-04-14,813100,5126400,6.3
16,2023-04-07,731100,5064600,6.93
17,2023-03-31,832000,4212500,5.06
18,2023-03-24,869100,4135000,4.76
19,2023-03-17,964900,4220700,4.37
20,2023-03-10,1545100,3715300,2.4
21,2023-03-03,1573300,3901500,2.48
22,2023-02-24,1320900,3523500,2.67
23,2023-02-17,1192800,3471100,2.91
