,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,3500,4300
1,2023-08-08,日証金,-,-,3300,4200
2,2023-08-07,日証金,-,-,3300,4200
3,2023-08-04,日証金,-,-,2600,4600
4,2023-08-03,日証金,-,-,2700,4600
5,2023-08-02,日証金,-,-,2800,4200
6,2023-08-01,日証金,-,-,2800,4200
7,2023-07-31,日証金,-,-,2800,4200
8,2023-07-28,日証金,-,-,2300,4200
9,2023-07-27,日証金,-,-,2300,4200
10,2023-07-26,日証金,-,-,2200,4200
11,2023-07-25,日証金,-,-,2200,4200
12,2023-07-24,日証金,-,-,2100,4200
13,2023-07-21,日証金,-,-,1200,4200
14,2023-07-20,日証金,-,-,500,4200
15,2023-07-19,日証金,-,-,0,4200
16,2023-07-18,日証金,-,-,100,4200
17,2023-07-14,日証金,-,-,400,4200
18,2023-07-13,日証金,-,-,600,4200
19,2023-07-12,日証金,-,-,600,5000
20,2023-07-11,日証金,-,-,1300,5000
