,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,16300,17200
1,2023-08-21,日証金,-,-,17700,30100
2,2023-08-18,日証金,-,-,14100,27500
3,2023-08-17,日証金,-,-,14100,27400
4,2023-08-16,日証金,-,-,15500,27100
5,2023-08-15,日証金,-,-,13600,45500
6,2023-08-14,日証金,-,-,13600,46900
7,2023-08-10,日証金,-,-,24200,40800
8,2023-08-09,日証金,-,-,17300,41900
9,2023-08-08,日証金,-,-,18200,47700
10,2023-08-07,日証金,-,-,26300,46900
11,2023-08-04,日証金,-,-,27500,47200
12,2023-08-03,日証金,-,-,13200,59200
13,2023-08-02,日証金,-,-,38300,167600
14,2023-08-01,日証金,0.10,1,84200,43000
15,2023-07-31,日証金,-,-,81400,111100
16,2023-07-28,日証金,0.10,1,104500,68700
17,2023-07-27,日証金,0.10,1,119600,61100
18,2023-07-26,日証金,0.45,3,128400,57800
19,2023-07-25,日証金,0.15,1,156000,51900
20,2023-07-24,日証金,0.10,1,113600,82800
