,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,3400,5000
1,2023-08-21,日証金,0.00,1,3500,6300
2,2023-08-18,日証金,0.00,1,4600,3900
3,2023-08-17,日証金,0.00,1,4800,4500
4,2023-08-16,日証金,-,-,3000,9800
5,2023-08-15,日証金,0.00,1,3200,5100
6,2023-08-14,日証金,0.00,1,5400,4800
7,2023-08-10,日証金,-,-,3200,3500
8,2023-08-09,日証金,0.00,1,6000,4800
9,2023-08-08,日証金,0.00,-,2800,4600
10,2023-08-07,日証金,-,-,1800,2700
11,2023-08-04,日証金,-,-,1600,2700
12,2023-08-03,日証金,-,-,1700,2800
13,2023-08-02,日証金,-,-,1700,2800
14,2023-08-01,日証金,-,-,2000,3300
15,2023-07-31,日証金,0.00,-,5600,4900
16,2023-07-28,日証金,0.00,-,5700,5000
17,2023-07-27,日証金,-,-,1800,2800
18,2023-07-26,日証金,-,-,2200,2800
19,2023-07-25,日証金,-,-,2000,2800
20,2023-07-24,日証金,-,-,2300,2800
