,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,1000,4600
1,2023-08-21,日証金,-,-,1300,8200
2,2023-08-18,日証金,-,-,1100,8200
3,2023-08-17,日証金,-,-,900,8200
4,2023-08-16,日証金,-,-,2700,7200
5,2023-08-15,日証金,-,-,2600,7100
6,2023-08-14,日証金,-,-,2700,4900
7,2023-08-10,日証金,-,-,3300,4300
8,2023-08-09,日証金,-,-,3500,4300
9,2023-08-08,日証金,-,-,3300,4200
10,2023-08-07,日証金,-,-,3300,4200
11,2023-08-04,日証金,-,-,2600,4600
12,2023-08-03,日証金,-,-,2700,4600
13,2023-08-02,日証金,-,-,2800,4200
14,2023-08-01,日証金,-,-,2800,4200
15,2023-07-31,日証金,-,-,2800,4200
16,2023-07-28,日証金,-,-,2300,4200
17,2023-07-27,日証金,-,-,2300,4200
18,2023-07-26,日証金,-,-,2200,4200
19,2023-07-25,日証金,-,-,2200,4200
20,2023-07-24,日証金,-,-,2100,4200
