,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.00,-,644400,462700
1,2023-08-21,日証金,0.00,-,633100,416100
2,2023-08-18,日証金,0.00,-,689900,466700
3,2023-08-17,日証金,0.00,-,636700,411500
4,2023-08-16,日証金,0.00,-,638300,417600
5,2023-08-15,日証金,0.00,-,633300,419200
6,2023-08-14,日証金,0.00,-,644300,428100
7,2023-08-10,日証金,0.00,-,654200,426500
8,2023-08-09,日証金,-,-,654900,418900
9,2023-08-08,日証金,-,-,661400,411300
10,2023-08-07,日証金,-,-,634100,775600
11,2023-08-04,日証金,0.00,-,633600,397200
12,2023-08-03,日証金,-,-,658400,1663000
13,2023-08-02,日証金,0.00,3,699400,295800
14,2023-08-01,日証金,-,-,648100,1007500
15,2023-07-31,日証金,0.00,1,715400,535800
16,2023-07-28,日証金,0.00,-,688800,502700
17,2023-07-27,日証金,0.00,-,686600,510300
18,2023-07-26,日証金,0.00,-,648900,473400
19,2023-07-25,日証金,0.00,1,718100,371700
20,2023-07-24,日証金,0.00,-,640500,447700
