,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,1900,168900
1,2023-08-21,日証金,-,-,1800,210900
2,2023-08-18,日証金,-,-,700,218900
3,2023-08-17,日証金,-,-,600,212900
4,2023-08-16,日証金,-,-,2000,213800
5,2023-08-15,日証金,-,-,4400,223700
6,2023-08-14,日証金,-,-,4400,233200
7,2023-08-10,日証金,-,-,4100,224900
8,2023-08-09,日証金,-,-,7400,228300
9,2023-08-08,日証金,-,-,12100,222100
10,2023-08-07,日証金,-,-,6900,222700
11,2023-08-04,日証金,-,-,5700,188100
12,2023-08-03,日証金,-,-,10000,248500
13,2023-08-02,日証金,-,-,26900,283400
14,2023-08-01,日証金,-,-,31700,234600
15,2023-07-31,日証金,-,-,37700,172300
16,2023-07-28,日証金,-,-,29300,132300
17,2023-07-27,日証金,-,-,23100,127100
18,2023-07-26,日証金,-,-,5700,134900
19,2023-07-25,日証金,-,-,22300,130700
20,2023-07-24,日証金,-,-,5300,166900
