,日付,信用売残,信用買残,信用倍率
0,2023-08-18,1425200,5685500,3.99
1,2023-08-10,1469700,6880800,4.68
2,2023-08-04,1482800,10663900,7.19
3,2023-07-28,1521300,7137300,4.69
4,2023-07-21,1625700,7363700,4.53
5,2023-07-14,1528100,7468600,4.89
6,2023-07-07,1669100,7480100,4.48
7,2023-06-30,1766900,7088600,4.01
8,2023-06-23,1650800,6864900,4.16
9,2023-06-16,1645400,5585900,3.39
10,2023-06-09,1729700,5384400,3.11
11,2023-06-02,1755700,5059400,2.88
12,2023-05-26,1484500,3282200,2.21
13,2023-05-19,1655900,3421100,2.07
14,2023-05-12,1792400,3558300,1.99
15,2023-04-28,1241300,2472400,1.99
16,2023-04-21,1348300,2753900,2.04
17,2023-04-14,1133900,2093900,1.85
18,2023-04-07,1119500,1907600,1.7
19,2023-03-31,1217800,2130200,1.75
20,2023-03-24,1008000,2227900,2.21
21,2023-03-17,971900,2038600,2.1
22,2023-03-10,1056000,1744700,1.65
23,2023-03-03,1036600,1725600,1.66
24,2023-02-24,960200,1924500,2.0
