,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.00,-,13900,10900
1,2023-08-21,日証金,0.00,-,13900,11300
2,2023-08-18,日証金,0.00,-,15400,13200
3,2023-08-17,日証金,0.00,-,16000,13600
4,2023-08-16,日証金,0.00,-,16600,14100
5,2023-08-15,日証金,0.00,-,18000,15000
6,2023-08-14,日証金,-,-,7300,5100
7,2023-08-10,日証金,0.00,-,7500,3700
8,2023-08-09,日証金,-,-,5400,4800
9,2023-08-08,日証金,-,-,6300,4700
10,2023-08-07,日証金,-,-,6300,1800
11,2023-08-04,日証金,-,-,6100,3400
12,2023-08-03,日証金,-,-,5900,1800
13,2023-08-02,日証金,-,-,7900,1900
14,2023-08-01,日証金,-,-,6400,2100
15,2023-07-31,日証金,-,-,7300,23200
16,2023-07-28,日証金,-,-,6000,22100
17,2023-07-27,日証金,-,-,6200,22100
18,2023-07-26,日証金,-,-,6500,22100
19,2023-07-25,日証金,-,-,5800,22400
20,2023-07-24,日証金,-,-,6000,36800
