,日付,信用売残,信用買残,信用倍率
0,2023-08-18,483500,1687000,3.49
1,2023-08-10,520600,2212800,4.25
2,2023-08-04,459100,2379700,5.18
3,2023-07-28,462600,1348600,2.92
4,2023-07-21,524300,1265800,2.41
5,2023-07-14,469900,1366900,2.91
6,2023-07-07,545900,1559100,2.86
7,2023-06-30,586200,1294400,2.21
8,2023-06-23,594400,1345100,2.26
9,2023-06-16,584100,1256800,2.15
10,2023-06-09,568600,1078300,1.9
11,2023-06-02,467100,1235700,2.65
12,2023-05-26,425300,910600,2.14
13,2023-05-19,377400,1073500,2.84
14,2023-05-12,311400,1440500,4.63
15,2023-04-28,242600,1765300,7.28
16,2023-04-21,240200,1897100,7.9
17,2023-04-14,281400,2001700,7.11
18,2023-04-07,240700,1935700,8.04
19,2023-03-31,744700,1928300,2.59
20,2023-03-24,767500,2043500,2.66
21,2023-03-17,230200,2022600,8.79
22,2023-03-10,306800,1893500,6.17
23,2023-03-03,285100,2039800,7.15
24,2023-02-24,264500,2244800,8.49
